ASSET_UID,TYPE,Mobile,DESCRIPTION OF EQUIPMENT,Manufacturer,Model,Manufacturer's Serial No./Other Identifier,Firmware Version,ACQUISITION DATE,ORIGINAL COST,comments
ATAPL-67709-00016,,,4O/2E Hybrid FACT Jumper Assembly,Teledyne ODI,1063054,1063054-28,N/A,20121220,32078,
ATAPL-67709-00017,,,4O/2E Hybrid FACT Jumper Assembly,Teledyne ODI,1063054,1063054-32,N/A,20121220,32078,
ATAPL-67709-00018,,,4O/2E Hybrid FACT Jumper Assembly,Teledyne ODI,1063054,1063054-36,N/A,20121221,32078,
ATAPL-67709-00019,,,4O/2E Hybrid FACT Jumper Assembly,Teledyne ODI,1063054,1063054-40,N/A,20121221,32078,
ATAPL-67709-00020,,,4O/2E Hybrid FACT Jumper Assembly,Teledyne ODI,1063054,1063054-37,N/A,20121221,32078,
ATAPL-67709-00021,,,4O/2E Hybrid FACT Jumper Assembly,Teledyne ODI,1063054,1063054-35,N/A,20121221,32078,
ATAPL-67709-00022,,,4O/2E Hybrid FACT Jumper Assembly,Teledyne ODI,1063054,1063054-39,N/A,20121221,32078,
ATAPL-67709-00023,,,4O/2E Hybrid FACT Jumper Assembly,Teledyne ODI,1063054,1063054-43,N/A,20121224,32078,
ATAPL-67709-00024,,,4O/2E Hybrid FACT Jumper Assembly,Teledyne ODI,1063054,1063054-45,N/A,20121224,32078,
ATAPL-67709-00025,,,4O/2E Hybrid FACT Jumper Assembly,Teledyne ODI,1063054,1063054-44,N/A,20121224,32078,
ATAPL-67709-00026,,,4O/2E Hybrid FACT Jumper Assembly,Teledyne ODI,1063054,1063054-47,N/A,20140709,32078,
ATAPL-67709-00027,,,4O/2E Hybrid FACT Jumper Assembly,Teledyne ODI,1063054,1063054-48,N/A,20140709,32078,
ATAPL-67709-00028,,,4O/2E Hybrid FACT Jumper Assembly,Teledyne ODI,1063054,1063054-49,N/A,20140709,32078,
ATAPL-67709-00029,,,4O/2E Hybrid FACT Jumper Assembly,Teledyne ODI,1063054,1063054-50,N/A,20140709,32078,
ATAPL-67709-10001,,,4O/2E Hybrid FACT Jumper Assembly,Teledyne ODI,1077722,1077722-1,N/A,20140407,32078,
ATAPL-67709-10002,,,4O/2E Hybrid FACT Jumper Assembly,Teledyne ODI,1077722,1077722-2,N/A,20140407,32078,
ATAPL-67710-00001,,,10M NRH ROV CE Jumper Assembly; Cable End Receptacle on both ends; splice canister,Teledyne ODI,1068057,1068057-1,N/A,,44257,
ATAPL-67710-00002,,,10M NRH ROV CE Jumper Assembly; Cable End Receptacle on both ends; splice canister,Teledyne ODI,1068057,1068057-2,N/A,,44257,
ATAPL-67711-00001,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-1,N/A,20120315,28528,
ATAPL-67711-00002,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-2,N/A,20120315,28528,
ATAPL-67711-00003,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-3,N/A,20120316,28528,
ATAPL-67711-00004,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-4,N/A,20120327,28528,
ATAPL-67711-00005,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-5,N/A,20120315,28528,
ATAPL-67711-00006,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-6,N/A,20120315,28528,
ATAPL-67711-00007,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-7,N/A,20120316,28528,
ATAPL-67711-00008,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-8,N/A,20120316,28528,
ATAPL-67711-00009,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-9,N/A,20120319,28528,
ATAPL-67711-00010,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-10,N/A,20120319,28528,
ATAPL-67711-00011,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-11,N/A,20120327,28528,
ATAPL-67711-00012,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-12,N/A,20120327,28528,
ATAPL-67711-00013,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-13,N/A,20120327,28528,
ATAPL-67711-00014,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-14,N/A,20120327,28528,
ATAPL-67711-00015,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-15,N/A,20120328,28528,
ATAPL-67711-00016,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-16,N/A,20120328,28528,
ATAPL-67711-00017,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-17,N/A,20120328,28528,
ATAPL-67711-00018,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-18,N/A,20120330,28528,
ATAPL-67711-00019,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-19,N/A,20120330,28528,
ATAPL-67711-00020,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-20,N/A,20120330,28528,
ATAPL-67711-00021,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-21,N/A,20120330,28528,
ATAPL-67711-00022,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-22,N/A,20120402,28528,
ATAPL-67711-00023,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-23,N/A,20120402,28528,
ATAPL-67711-00024,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-24,N/A,20120402,28528,
ATAPL-67711-00025,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-25,N/A,20120402,28528,
ATAPL-67711-00026,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-26,N/A,20130401,28528,
ATAPL-67711-00027,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-27,N/A,20130401,28528,
ATAPL-67711-00028,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-28,N/A,20130401,28528,
ATAPL-67711-00029,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-29,N/A,20130401,28528,
ATAPL-67711-00030,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-30,N/A,20130607,28528,
ATAPL-67711-00031,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-31,N/A,20130607,28528,
ATAPL-67711-00032,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-32,N/A,20130607,28528,
ATAPL-67711-00033,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-33,N/A,20130607,28528,
ATAPL-67711-00034,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-34,N/A,20130607,28528,
ATAPL-67711-00035,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-35,N/A,20130607,28528,
ATAPL-67711-00036,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-36,N/A,20130607,28528,
ATAPL-67711-00037,,,,,,,,,,Missing from inventory
ATAPL-67711-00038,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-38,N/A,20140509,28528,
ATAPL-67711-00039,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-39,N/A,20140512,28528,
ATAPL-67711-00040,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-40,N/A,20141112,28528,
ATAPL-67711-00041,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-41,N/A,20140820,28528,
ATAPL-67711-00042,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-42,N/A,20140820,28528,
ATAPL-67711-00043,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-43,N/A,20140820,28528,
ATAPL-67711-00044,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-44,N/A,20140820,28528,
ATAPL-67711-00045,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-45,N/A,20140820,28528,
ATAPL-67712-00001,,,,,,,,,,Missing from inventory
ATAPL-67712-00002,,,,,,,,,,Missing from inventory
ATAPL-67712-00003,,,,,,,,,,Missing from inventory
ATAPL-67712-00004,,,,,,,,,,Missing from inventory
ATAPL-67712-00005,,,,,,,,,,Missing from inventory
ATAPL-67712-00006,,,,,,,,,,Missing from inventory
ATAPL-67712-00007,,,,,,,,,,Missing from inventory
ATAPL-67712-00008,,,,,,,,,,Missing from inventory
ATAPL-67712-00009,,,,,,,,,,Missing from inventory
ATAPL-67712-00010,,,,,,,,,,Missing from inventory
ATAPL-67712-00011,,,,,,,,,,Missing from inventory
ATAPL-67712-00012,,,,,,,,,,Missing from inventory
ATAPL-67712-00013,,,,,,,,,,Missing from inventory
ATAPL-67712-00014,,,,,,,,,,Missing from inventory
ATAPL-67712-00015,,,,,,,,,,Missing from inventory
ATAPL-67712-00016,,,,,,,,,,Missing from inventory
ATAPL-67712-00017,,,,,,,,,,Missing from inventory
ATAPL-67712-00018,,,,,,,,,,Missing from inventory
ATAPL-67712-00019,,,,,,,,,,Missing from inventory
ATAPL-67712-00020,,,,,,,,,,Missing from inventory
ATAPL-67712-00021,,,,,,,,,,Missing from inventory
ATAPL-67712-00022,,,,,,,,,,Missing from inventory
ATAPL-67712-00023,,,,,,,,,,Missing from inventory
ATAPL-67712-00024,,,,,,,,,,Missing from inventory
ATAPL-67712-00025,,,,,,,,,,Missing from inventory
ATAPL-67712-00026,,,,,,,,,,Missing from inventory
ATAPL-67712-00027,,,,,,,,,,Missing from inventory
ATAPL-67712-00028,,,,,,,,,,Missing from inventory
ATAPL-67712-00029,,,,,,,,,,Missing from inventory
ATAPL-67712-00030,,,,,,,,,,Missing from inventory
ATAPL-67712-00031,,,,,,,,,,Missing from inventory
ATAPL-67712-00032,,,,,,,,,,Missing from inventory
ATAPL-67712-00033,,,,,,,,,,Missing from inventory
ATAPL-67712-00034,,,,,,,,,,Missing from inventory
ATAPL-67712-00035,,,,,,,,,,Missing from inventory
ATAPL-67712-00036,,,,,,,,,,Missing from inventory
ATAPL-67712-00037,,,,,,,,,,Missing from inventory
ATAPL-67712-00038,,,,,,,,,,Missing from inventory
ATAPL-67712-00039,,,,,,,,,,Missing from inventory
ATAPL-67712-00040,,,,,,,,,,Missing from inventory
ATAPL-67712-00041,,,,,,,,,,Missing from inventory
ATAPL-67712-00042,,,,,,,,,,Missing from inventory
ATAPL-67712-00043,,,,,,,,,,Missing from inventory
ATAPL-67712-00044,,,,,,,,,,Missing from inventory
ATAPL-67712-00045,,,DMS 4O/2E Submersible Impluse Bulkhead Mounted Receptacle,Teledyne ODI,1068058,1066212-45,N/A,20140822,5152,
ATAPL-67712-00046,,,DMS 4O/2E Submersible Impluse Bulkhead Mounted Receptacle,Teledyne ODI,1068058,1066212-46,N/A,20140822,5152,
ATAPL-67712-00047,,,DMS 4O/2E Submersible Impluse Bulkhead Mounted Receptacle,Teledyne ODI,1068058,1066212-47,N/A,20140825,5152,
ATAPL-67713-00001,,,4O/2E ROV 45 Degree Cable End Receptacle Test Harness,Teledyne ODI,1061414,1061414-11,N/A,20120402,18921,
ATAPL-67713-00002,,,4O/2E ROV 45 Degree Cable End Receptacle Test Harness,Teledyne ODI,1061414,1061414-12,N/A,20120806,18921,
ATAPL-67713-00003,,,4O/2E ROV 45 Degree Cable End Receptacle Test Harness,Teledyne ODI,1061414,1061414-13,N/A,20120806,18921,
ATAPL-67714-00001,,,4O/2E ROV Straight Front Mount Fixed Bulkhead Plug Test Harness,Teledyne ODI,1061415,1061415-6,N/A,20120229,15550,
ATAPL-67714-00002,,,4O/2E ROV Straight Front Mount Fixed Bulkhead Plug Test Harness,Teledyne ODI,1061415,1061415-7,N/A,20120824,15550,
ATAPL-67715-00001,,,40/2E Submersible Cable End Plug Test Harness,Teledyne ODI,1068059,1068059-1,N/A,20120319,6953,
ATAPL-67715-00002,,,40/2E Submersible Cable End Plug Test Harness,Teledyne ODI,1068059,1068059-2,N/A,20120319,6953,
ATAPL-67732-00001,,,RAS_PPS ASSEMBLY (RAS: 4830-58340 & PPS: 4830-58338)  (O&M),NOAA/PMEL,67732,,,,36913,
ATAPL-67732-00002,,,RAS_PPS ASSEMBLY (RAS: 4830-58340 & PPS: 4830-58338),NOAA/PMEL,67732,,,,36913,
ATAPL-67732-00003,,,,,,,,,,Missing from inventory
ATAPL-67732-00004,,,RAS_PPS ASSEMBLY (RAS: 4830-58340 & PPS: 4830-58338),PMEL,Custom,,,,36913,
ATAPL-67732-00005,,,RAS_PPS ASSEMBLY (RAS: 4830-58340 & PPS: 4830-58338),PMEL,Custom,,,,36913,
ATAPL-67732-00006,,,RAS_PPS ASSEMBLY (RAS: 4830-58340 & PPS: 4830-58338),PMEL,Custom,,,20130615,33717,
ATAPL-67941-00001,,,"MAIN FRAME, VERTICAL MOORING",APL/UW,67941,1,N/A,20140801,119600,
ATAPL-67941-00002,,,"MAIN FRAME, VERTICAL MOORING",APL/UW,67941,2,N/A,20140818,119600,
ATAPL-67941-00003,,,"MAIN FRAME, VERTICAL MOORING",APL/UW,67941,3,N/A,20140818,119600,
ATAPL-67961-00001,,,MOOG M180 SLIP RING,MOOG,M180,18009612,N/A,20120517,6600,
ATAPL-67973-00001,,,DELL R310 Server,Dell,R310,7JXZMS1,N/A,20120426,5826.1,
ATAPL-67974-00001,,,Ametek SGA400 10KW Power Supply,AMETEK,SGA400,1221A04918,N/A,20120605,6684,
ATAPL-67977-00001,Sensor,0,"SBE52MP-1a-2g-4, RS-232, 3500m strain gauge pressure sensor, MCBH(WB)",SEA-BIRD ELECTRONICS,SBE52MP,5273520-0120,,20130701,11215,
ATAPL-67977-00002,Sensor,0,"SBE52MP-1a-2g-4, RS-232, 3500m strain gauge pressure sensor, MCBH(WB)",SEA-BIRD ELECTRONICS,SBE52MP,5277187-0137,,20140128,9966.25,
ATAPL-67977-00003,Sensor,0,"SBE52MP-1a-2g-4, RS-232, 3500m strain gauge pressure sensor, MCBH(WB)",SEA-BIRD ELECTRONICS,SBE52MP,5277833-0139,,20140409,9966.25,
ATAPL-67977-00004,Sensor,0,"SBE52MP-1a-2g-4, RS-232, 3500m strain gauge pressure sensor, MCBH(WB)",SEA-BIRD ELECTRONICS,SBE52MP,52-0144,,20141222,10250,
ATAPL-67977-00005,Sensor,0,"SBE52MP-1a-2g-4, RS-232, 3500m strain gauge pressure sensor, MCBH(WB)",SEA-BIRD ELECTRONICS,SBE52MP,52-0145,,20141222,10250,
ATAPL-67977-00006,Sensor,0,"SBE52MP-1a-2g-4, RS-232, 3500m strain gauge pressure sensor, MCBH(WB) WHOI",SEA-BIRD ELECTRONICS,SBE52MP,52-0146,,20141222,10250,
ATAPL-67979-00001,Sensor,0,MAVS-4 Acoustic Current Meter (VEL3D),NOBSKA,MAVS-4,10306,,20120710,10969,
ATAPL-67979-00002,Sensor,0,MAVS-4 Acoustic Current Meter (VEL3D),NOBSKA,MAVS-4,10311,,20130426,10969,
ATAPL-67979-00003,Sensor,0,MAVS-4 Acoustic Current Meter (VEL3D)  (O&M),NOBSKA,MAVS-4,10312,,20130426,10969,
ATAPL-67979-00004,Sensor,0,MAVS-4 Acoustic Current Meter (VEL3D),NOBSKA,MAVS-4,10313,,20130426,10969,
ATAPL-67979-00005,Sensor,0,MAVS-4 Acoustic Current Meter (VEL3D),NOBSKA,MAVS-4,10314,,20130426,10969,
ATAPL-68020-00001,Sensor,0,SATLANTIC SUNA NITRATE SENSOR,SATLANTIC,deep SUNA,234,,20120829,23524.38,
ATAPL-68020-00002,Sensor,0,SATLANTIC SUNA NITRATE SENSOR,SATLANTIC,deep SUNA,379,,20131127,24919.44,
ATAPL-68020-00003,Sensor,0,SATLANTIC SUNA NITRATE SENSOR,SATLANTIC,deep SUNA,380,,20131127,24919.44,
ATAPL-68020-00004,Sensor,0,SATLANTIC SUNA NITRATE SENSOR,SATLANTIC,deep SUNA,429,,20140514,26438.02,
ATAPL-68020-00005,,,,,,,,,,Missing from inventory
ATAPL-68020-00005,Sensor,0,NUTNR,SATLANTIC,ISUS,344,,20140924,38790.36,
ATAPL-68020-00006,Sensor,0,SATLANTIC SUNA NITRATE SENSOR,SATLANTIC,deep SUNA,617,,20150515,26956,
ATAPL-68020-00007,Sensor,0,SATLANTIC SUNA NITRATE SENSOR,SATLANTIC,deep SUNA,618,,20150515,26956,
ATAPL-68021-00001,,,"MAIN FLOAT, MOORING PLATFORM",Deep Water Bouyancy,68021,1,N/A,20140819,50996,
ATAPL-68021-00002,,,"MAIN FLOAT, MOORING PLATFORM",Deep Water Bouyancy,68021,2,N/A,20140827,50996,
ATAPL-68021-00003,,,"MAIN FLOAT, MOORING PLATFORM",Deep Water Bouyancy,68021,3,N/A,20140827,50996,
ATAPL-68030-10001,,,"25M ROV MASSP CAMDS Electrical Jumper, ROV CE Plug to MHDXL",Teledyne ODI,1073307,1073307-1,N/A,20131007,11167,
ATAPL-68030-10002,,,"25M ROV MASSP CAMDS Electrical Jumper, ROV CE Plug to MHDXL",Teledyne ODI,1073307,1073307-2,N/A,20131007,11167,
ATAPL-68030-10003,,,"25M ROV MASSP CAMDS Electrical Jumper, ROV CE Plug to MHDXL",Teledyne ODI,1073307,1073307-3,N/A,20131007,11167,
ATAPL-68030-10004,,,"25M ROV MASSP CAMDS Electrical Jumper, ROV CE Plug to MHDXL",Teledyne ODI,1073307,1073307-4,N/A,20131007,11167,
ATAPL-68030-10005,,,"25M ROV MASSP CAMDS Electrical Jumper, ROV CE Plug to MHDXL",Teledyne ODI,1073307,1073307-5,N/A,20131007,11167,
ATAPL-68030-10006,,,"25M ROV MASSP, CAMDS Electrical Jumper, ROV CE Plug to MHDXL",Teledyne ODI,1073307,1073307-6,N/A,20150728,11167,
ATAPL-68030-10007,,,"25M ROV MASSP, CAMDS Electrical Jumper, ROV CE Plug to MHDXL",Teledyne ODI,1073307,1073307-7,N/A,20150728,11167,
ATAPL-68030-20001,,,"50M ROV MASSP, CAMDS, THSPH Electrical Jumper, ROV CE Plug to MHDXL",Teledyne ODI,1073306,1073306-1,N/A,20130605,12886,
ATAPL-68030-20002,,,"50M ROV MASSP, CAMDS, THSPH Electrical Jumper, ROV CE Plug to MHDXL",Teledyne ODI,1073306,1073306-2,N/A,20130605,12886,
ATAPL-68030-20003,,,"50M ROV MASSP, CAMDS, THSPH Electrical Jumper, ROV CE Plug to MHDXL",Teledyne ODI,1073306,1073306-3,N/A,20130723,12886,
ATAPL-68030-20004,,,"50M ROV MASSP, CAMDS, THSPH Electrical Jumper, ROV CE Plug to MHDXL",Teledyne ODI,1073306,1073306-4,N/A,20131007,12886,
ATAPL-68030-20005,,,"50M ROV MASSP, CAMDS, THSPH Electrical Jumper, ROV CE Plug to MHDXL",Teledyne ODI,1073306,1073306-5,N/A,20131007,12886,
ATAPL-68030-20006,,,"50M ROV MASSP, CAMDS, THSPH Electrical Jumper, ROV CE Plug to MHDXL",Teledyne ODI,1073306,1073306-6,N/A,20131007,12886,
ATAPL-68030-20007,,,,,,,,,,
ATAPL-68030-20008,,,,,,,,,,
ATAPL-68030-20009,,,"50M ROV MASSP, CAMDS, THSPH Electrical Jumper, ROV CE Plug to MHDXL",Teledyne ODI,1073306,1073306-9,N/A,20150729,12886,
ATAPL-68030-20010,,,"50M ROV MASSP, CAMDS, THSPH Electrical Jumper, ROV CE Plug to MHDXL",Teledyne ODI,1073306,1073306-10,N/A,20150729,12886,
ATAPL-68073-00001,Sensor,0,ADCP E-WHM150-6000m (ADCPT-E),TELEDYNE RDI,WHM150-6000m,18471,,20120919,53533,
ATAPL-68073-00002,Sensor,0,ADCP E-WHM150-6000m (ADCPT-E)  (O&M),TELEDYNE RDI,WHM150-6000m,18813,,20130201,53533,
ATAPL-68073-00003,Sensor,0,ADCP E-WHM150-6000m (ADCPT-E),TELEDYNE RDI,WHM150-6000m,19224,,20130201,53533,
ATAPL-68073-00004,Sensor,0,ADCP E-WHM150-6000m (ADCPT-E),TELEDYNE RDI,WHM150-6000m,23442,,20150529,56791,
ATAPL-68073-00005,Sensor,0,ADCP E-WHM150-6000m (ADCPT-E),TELEDYNE RDI,WHM150-6000m,23443,,20150529,56791,
ATAPL-68836-00001,,,"Ballast Ring, SP Frame",APL/UW,68836,1,N/A,20130501,5224.7,
ATAPL-68836-00002,,,"Ballast Ring, SP Frame",APL/UW,68836,4815-68836,N/A,20130501,5224.7,
ATAPL-68836-00003,,,"Ballast Ring, SP Frame",APL/UW,68836,4815-68836,N/A,20130501,5224.7,
ATAPL-68836-00004,,,"Ballast Ring, SP Frame",APL/UW,68836,4815-68836,N/A,20141215,5224.7,
ATAPL-68836-00005,,,"Ballast Ring, SP Frame",APL/UW,68836,4815-68836,N/A,20141215,5224.7,
ATAPL-68836-00006,,,"Ballast Ring, SP Frame",APL/UW,68836,4815-68836,N/A,20141215,5224.7,
ATAPL-68862-00001,,,Flotation Tech Science Pod Float - Base,Deep Water Bouyancy,68862,1,N/A,20130610,10000,
ATAPL-68862-00002,,,SCIENCE POD FLOAT - BASE,Deep Water Bouyancy,68862,2,N/A,20140819,10765,
ATAPL-68862-00003,,,SCIENCE POD FLOAT - BASE,Deep Water Bouyancy,68862,3,N/A,20140827,10765,
ATAPL-68862-00004,,,"SCIENCE POD, FLOAT - BASE",Deep Water Bouyancy,68862,4,N/A,20150504,10765,
ATAPL-68862-00005,,,"SCIENCE POD, FLOAT - BASE",Deep Water Bouyancy,68862,5,N/A,20150504,10765,
ATAPL-68862-00006,,,"SCIENCE POD, FLOAT - BASE",Deep Water Bouyancy,68862,6,N/A,20150504,10765,
ATAPL-68865-00001,,,Flotation Tech Science Pod Float - Center,Deep Water Bouyancy,68865,1,N/A,20130610,10000,
ATAPL-68865-00002,,,SCIENCE POD FLOAT - CENTER,Deep Water Bouyancy,68865,2,N/A,20140819,15873,
ATAPL-68865-00003,,,SCIENCE POD FLOAT - CENTER,Deep Water Bouyancy,68865,3,N/A,20140827,15873,
ATAPL-68865-00004,,,"SCIENCE POD, FLOAT - CENTER",Deep Water Bouyancy,68865,4,N/A,20150504,16873,
ATAPL-68865-00005,,,"SCIENCE POD, FLOAT - CENTER",Deep Water Bouyancy,68865,5,N/A,20150504,16873,
ATAPL-68865-00006,,,"SCIENCE POD, FLOAT - CENTER",Deep Water Bouyancy,68865,6,N/A,20150504,16873,
ATAPL-68866-00001,,,Flotation Tech Science Pod Float - Top,Deep Water Bouyancy,68866,1,N/A,20130610,10000,
ATAPL-68866-00002,,,"SCIENCE POD, FLOAT - TOP",Deep Water Bouyancy,68866,2,N/A,20140819,5020,
ATAPL-68866-00003,,,"SCIENCE POD, FLOAT - TOP",Deep Water Bouyancy,68866,3,N/A,20140827,5020,
ATAPL-68866-00004,,,"SCIENCE POD, FLOAT - TOP",Deep Water Bouyancy,68866,4,N/A,20150504,5020,
ATAPL-68866-00005,,,"SCIENCE POD, FLOAT - TOP",Deep Water Bouyancy,68866,5,N/A,20150504,5020,
ATAPL-68866-00006,,,"SCIENCE POD, FLOAT - TOP",Deep Water Bouyancy,68866,6,N/A,20150504,5020,
ATAPL-68870-001-0140,Platform,0,MOORING RSN,,RS01SBPS-SF01A,SN0140,,,,
ATAPL-68870-001-0142,Platform,0,MOORING RSN,,RS03AXPS-SF03A,SN0142,,,,
ATAPL-68870-001-0143,Platform,0,MOORING RSN,,RS01SBPS-SF01A,SN0143,,,,
ATAPL-68870-001-0145,Platform,0,MOORING RSN,,RS03AXPS-SF03A,SN0145,,,,
ATAPL-68870-002-0141,Platform,0,MOORING ENDURANCE OS,WHOI,CE04OSPS-SF01B,SN0141,,,,
ATAPL-68870-002-0144,Platform,0,MOORING ENDURANCE OS,WHOI,CE04OSPS-SF01B,SN0144,,,,
ATAPL-68871-00001,,,"SCIP HOUSING, PRESSURE CYLINDER",APL/UW,68871,1,N/A,20130219,7000,
ATAPL-68871-00002,,,"SCIP HOUSING, PRESSURE CYLINDER",APL/UW,68871,2,N/A,20140721,7000,
ATAPL-68871-00003,,,"SCIP HOUSING, PRESSURE CYLINDER",APL/UW,68871,3,N/A,20140721,7000,
ATAPL-68871-00004,,,"SCIP HOUSING, PRESSURE CYLINDER",APL/UW,68871,4,N/A,20141015,7000,
ATAPL-68871-00005,,,"SCIP HOUSING, PRESSURE CYLINDER",APL/UW,68871,5,N/A,20141015,7000,
ATAPL-68871-00006,,,"SCIP HOUSING, PRESSURE CYLINDER",APL/UW,68871,6,N/A,20141015,7000,
ATAPL-68872-00001,,,"SCIP HOUSING, PRESSURE CAP, CONNECTOR SIDE",APL/UW,68872,1,N/A,20130219,5000,
ATAPL-68872-00002,,,"SCIP HOUSING, PRESSURE CAP, CONNECTOR SIDE",APL/UW,68872,2,N/A,20140721,5000,
ATAPL-68872-00003,,,"SCIP HOUSING, PRESSURE CAP, CONNECTOR SIDE",APL/UW,68872,3,N/A,20140721,5000,
ATAPL-68872-00004,,,"SCIP HOUSING, PRESSURE CAP, CONNECTOR SIDE",APL/UW,68872,4,N/A,20140721,5000,
ATAPL-68872-00005,,,"SCIP HOUSING, PRESSURE CAP, CONNECTOR SIDE",APL/UW,68872,5,N/A,20140721,5000,
